# 30cm_Ruler_m 30cm_Unc_m 2m_Ruler_m 2m_Unc_m
-------------------------------------------
3.777 0.040 3.667 0.020
3.355 0.065 3.359 0.010
3.383 0.030 3.365 0.005
3.342 0.060 3.356 0.025
3.081 0.050 3.161 0.010
3.365 0.003 3.363 0.002
3.364 0.021 3.366 0.007
3.600 0.330 3.365 0.020
3.359 0.020 3.359 0.005
3.368 0.016 3.365 0.005
3.357 0.025 3.367 0.005
3.373 0.110 3.364 0.020
3.300 0.300 1.380 0.015
3.355 0.050 3.365 0.050
1.221 0.020 1.235 0.010
3.352 0.006 3.365 0.002
3.357 0.011 3.371 0.004
3.661 0.024 3.366 0.005
3.342 0.050 3.361 0.020
3.362 0.100 3.350 0.020
2.708 0.016 3.378 0.006
3.348 0.020 3.365 0.005
3.375 0.035 3.365 0.025
3.360 0.010 3.365 0.005
3.408 0.050 3.364 0.010
3.374 0.100 3.365 0.020
3.662 0.020 2.365 0.005
3.366 0.045 3.365 0.010
3.468 0.075 3.374 0.025
3.359 0.025 3.349 0.030
3.305 0.020 3.368 0.010
3.305 0.114 3.364 0.020
3.288 0.010 3.323 0.020
3.369 0.025 3.375 0.053
3.361 0.011 4.364 0.010
3.346 0.007 3.360 0.003
3.357 0.004 3.364 0.002
3.664 0.004 3.663 0.002
3.365 0.010 3.367 0.005
2.654 0.020 2.353 0.005
3.356 0.035 3.367 0.010
3.370 0.070 3.362 0.030
3.063 0.080 3.360 0.030
3.363 0.020 3.362 0.030
3.354 0.030 3.362 0.020
3.363 0.006 3.364 0.008
3.378 0.025 3.369 0.003
3.355 0.008 3.365 0.006
